f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f_sideSquare,teacher,current_eval,game_idx,move_idx
2,3,3,39,0,9,1,2,19,0,7,9,8,299016.800,312059,0,50
3,1,0,53,0,15,1,3,9,4,2,6,3,356189.000,340495,0,100
1,1,4,46,0,8,1,2,8,1,3,10,2,317592.200,313167,0,150
4,5,4,46,0,14,1,2,10,3,1,13,12,353287.400,371638,0,200
1,0,1,50,0,7,1,3,6,3,3,4,5,304701.150,299884,0,250
3,1,6,50,0,12,0,2,8,3,0,5,8,353867.100,355835,0,300
4,0,3,37,0,7,0,2,11,3,0,10,19,310025.150,308537,0,350
3,7,7,48,0,21,1,3,14,2,2,11,14,416142.800,422602,0,400
1,2,4,48,0,10,1,2,14,2,7,5,2,350957.000,333056,0,450
3,2,6,48,0,8,1,1,16,0,8,3,10,317529.300,350867,0,500
4,2,3,48,0,8,1,2,12,2,1,7,12,323170.100,338200,0,550
3,0,6,41,0,3,1,3,11,3,1,13,12,332586.450,331859,0,600
2,4,4,53,0,14,1,3,11,6,4,14,4,372858.850,404278,0,650
3,5,4,46,0,11,0,2,10,2,0,11,12,346462.750,350954,0,700
4,2,2,52,0,13,0,1,14,3,0,2,12,368183.900,351669,0,750
2,5,5,43,0,10,1,2,13,1,1,9,13,336562.500,339740,0,800
2,1,5,42,0,6,1,2,8,3,1,10,10,308966.600,317493,0,850
2,0,4,42,0,9,0,3,8,5,0,11,5,324284.550,317360,0,900
2,1,1,40,0,1,0,0,8,0,0,0,10,246290.850,224653,0,950
3,4,4,43,0,16,0,4,9,2,0,17,10,354674.850,364847,0,1000
3,1,1,52,0,16,1,4,10,5,2,9,9,378058.350,372521,0,1050
2,0,2,43,0,2,0,1,5,2,0,1,6,261754.650,244103,0,1100
1,0,1,40,0,3,1,4,4,1,1,10,2,268407.050,244496,0,1150
3,2,6,42,0,4,1,3,8,0,5,14,8,332024.200,326031,0,1200
3,2,0,48,0,6,0,0,8,0,0,0,8,286062.150,264920,0,1250
3,2,5,50,0,8,1,2,8,4,1,7,9,359551.550,352490,0,1300
2,1,2,47,0,7,1,1,7,0,2,3,8,293070.800,286084,0,1350
1,0,1,39,0,4,0,3,5,2,0,8,1,259357.600,237020,0,1400
3,2,8,54,0,20,1,4,8,8,5,14,13,453850.700,473147,0,1450
2,1,3,38,0,10,0,3,10,1,0,12,7,289943.650,293284,0,1500
3,6,9,42,0,25,1,4,18,1,1,20,12,409954.550,445740,0,1550
2,2,5,39,0,9,0,2,7,1,0,9,10,312102.800,299236,0,1600
1,1,1,49,0,12,1,4,9,3,2,12,2,340921.350,332448,0,1650
2,2,6,51,0,15,0,4,9,7,0,13,5,398187.550,403118,0,1700
4,3,5,50,0,8,0,1,12,3,0,4,17,358653.300,362170,0,1750
4,2,5,44,0,13,0,2,12,1,0,7,15,307074.600,347608,0,1800
3,0,3,40,0,4,0,2,4,2,0,9,3,274703.900,261649,0,1850
2,1,8,48,0,13,1,4,12,2,8,9,5,344733.350,386184,0,1900
2,5,6,54,0,18,0,4,10,7,0,12,9,429390.650,432744,0,1950
3,1,3,36,0,5,1,2,14,0,1,11,14,287260.650,287971,0,2000
2,2,4,51,0,15,1,2,13,3,1,6,7,370235.600,366124,0,2050
