game_idx,move_idx,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f_sideSquare,current_eval,n_rollouts,s10,s25,s50,s100,s200,s500,s1000,s1500
0,500,3,1,2,47,0,10,1,2,9,3,2,11,4,326591,200,200,200,200,200,200,197,193,190
0,1000,3,1,9,45,0,14,0,3,11,7,0,18,10,422186,200,200,200,200,200,200,198,196,192
0,1500,4,2,2,52,0,15,0,3,8,5,0,10,9,373467,200,200,200,200,200,199,196,196,195
0,2000,3,3,2,48,0,16,1,4,12,3,1,15,7,371884,200,200,200,200,200,199,198,192,190
0,2500,2,3,1,47,0,10,0,2,11,5,0,5,10,320245,200,200,200,200,200,200,198,193,191
0,3000,1,3,4,45,0,9,1,3,13,0,3,7,5,315631,200,200,200,200,199,198,195,194,189
0,3500,3,3,4,48,0,15,1,4,10,4,1,12,10,378932,200,200,200,200,200,200,200,200,199
0,4000,3,0,0,42,0,7,1,2,8,1,1,7,3,258319,200,200,200,200,200,200,199,195,193
0,4500,3,1,2,47,0,9,0,2,7,2,0,6,11,312235,200,200,200,200,199,198,198,194,192
0,5000,3,5,2,46,0,11,1,2,10,2,2,8,9,326091,200,200,200,200,199,199,196,195,190
0,5500,3,1,2,50,0,22,1,3,12,3,2,10,7,381090,200,200,199,198,198,198,197,195,192
0,6000,2,2,11,52,0,20,1,4,16,4,5,18,5,479441,200,200,200,200,200,200,199,194,191
0,6500,1,2,0,43,0,10,1,3,7,0,1,8,4,269909,200,200,200,199,198,197,197,194,190
0,7000,2,3,6,44,0,10,1,3,12,3,3,12,7,356001,200,200,200,200,199,198,197,195,192
0,7500,4,0,2,49,0,8,1,2,9,2,1,8,9,326801,200,200,200,200,200,199,195,191,190
0,8000,3,4,4,51,0,10,1,1,9,4,1,4,10,350445,200,200,200,200,200,199,199,195,192
0,8500,3,2,3,43,0,9,0,2,13,5,0,13,9,339782,200,200,200,200,200,199,197,193,192
0,9000,1,2,3,39,0,2,1,2,7,0,3,14,3,269117,200,200,200,200,199,199,197,196,195
0,9500,4,0,1,50,0,11,0,2,8,1,0,3,8,308398,200,200,199,199,199,199,199,199,194
0,10000,2,0,5,44,0,12,1,4,12,2,2,16,2,351402,200,200,200,200,199,199,198,195,193
1,500,3,5,7,43,0,14,0,3,19,7,0,17,15,423443,200,200,199,199,198,198,196,192,190
1,1000,1,1,4,46,0,13,1,3,12,4,1,4,6,331046,200,200,200,200,200,199,198,195,190
1,1500,3,0,4,46,0,6,0,2,8,2,0,4,13,311988,200,200,200,200,200,199,196,194,193
