game_idx,move_idx,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f_sideSquare,current_eval,n_rollouts,s10,s25,s50,s100,s200,s500,s1000,s1500
0,2000,3,1,3,46,0,4,1,4,6,3,1,13,13,331706,200,200,200,200,200,200,199,199,194
0,4000,1,3,4,45,0,6,1,1,11,1,3,4,6,298453,200,200,200,200,200,200,196,191,187
0,6000,3,0,4,43,0,2,1,2,11,0,2,10,8,298354,200,200,200,200,200,200,199,195,192
0,8000,3,8,6,50,0,19,0,3,16,5,0,16,14,445783,200,200,200,200,200,200,199,198,195
0,10000,2,3,8,41,0,9,1,2,15,0,1,10,10,343980,200,200,200,200,200,200,197,196,193
0,12000,3,0,5,55,0,13,1,3,11,7,2,7,13,413018,200,199,199,199,199,199,195,193,189
0,14000,2,4,2,38,0,7,1,3,14,3,3,18,6,315624,200,200,200,200,199,198,198,195,193
0,16000,2,1,1,50,0,10,1,2,4,1,1,6,5,301449,200,200,200,200,200,200,200,200,197
0,18000,2,3,0,52,0,14,1,1,8,1,2,2,6,313052,200,200,200,200,199,198,197,192,190
0,20000,3,2,3,42,0,5,1,1,12,1,1,6,12,294786,200,200,200,200,200,200,200,197,194
1,2000,2,6,2,50,0,16,1,3,8,2,1,8,4,342131,200,200,200,200,200,200,198,197,195
1,4000,2,1,3,49,0,10,1,3,7,1,4,6,2,315136,200,200,200,200,200,200,199,197,195
1,6000,3,0,3,38,0,3,0,3,6,1,0,13,3,263426,200,200,200,199,199,199,199,194,192
1,8000,4,0,2,50,0,19,0,4,8,3,0,9,6,359248,200,200,200,200,200,200,198,191,188
1,10000,2,3,5,46,0,19,1,4,10,0,1,11,5,359263,200,200,200,200,200,200,200,199,196
1,12000,1,0,2,42,0,4,0,1,6,4,0,5,3,258441,200,200,200,200,199,199,198,196,192
1,14000,2,2,3,45,0,14,0,2,11,4,0,6,9,332242,200,200,199,199,199,198,196,195,193
1,16000,0,1,3,41,0,2,1,3,5,1,2,12,0,263136,200,200,200,199,199,196,195,193,190
1,18000,3,0,2,47,0,4,0,1,5,2,0,3,9,280725,200,200,200,200,200,200,200,197,194
1,20000,4,1,8,52,0,17,0,2,8,2,0,7,17,413246,200,200,200,200,200,200,198,195,191
2,2000,0,0,3,35,0,2,0,2,5,2,0,11,0,231905,200,200,200,200,200,200,198,195,191
2,4000,2,1,3,44,0,7,1,1,12,2,1,2,10,294252,200,200,200,200,200,200,199,198,198
2,6000,2,1,3,47,0,5,1,1,9,2,2,6,6,302819,200,200,200,200,200,199,195,194,192
2,8000,2,1,4,45,0,6,1,2,11,1,4,6,5,305412,200,200,200,200,200,200,200,198,193
2,10000,4,2,4,53,0,21,1,2,9,1,1,4,13,385720,200,200,200,200,200,200,198,193,192
2,12000,4,1,4,53,0,11,1,2,15,4,2,2,15,378833,200,200,200,200,200,200,199,196,192
2,14000,2,0,2,40,0,3,0,2,4,1,0,6,5,242499,200,200,200,199,199,199,198,196,194
2,16000,2,5,3,52,0,14,1,3,12,5,2,11,10,391787,200,200,200,200,200,200,196,192,190
2,18000,3,1,1,43,0,5,1,1,7,0,1,4,5,253232,200,200,200,200,199,199,197,196,195
3,2000,1,0,4,47,0,9,1,2,7,1,3,3,5,302513,200,200,200,200,200,198,194,192,189
3,4000,2,4,10,38,0,6,1,2,18,0,8,10,14,360816,200,200,200,200,200,200,199,198,196
3,6000,2,0,1,37,0,2,0,2,7,2,0,7,11,243725,200,200,200,200,200,199,199,198,197
4,2000,4,3,2,50,0,16,1,2,16,5,2,7,18,393273,200,199,198,198,198,197,196,194,192
4,4000,3,0,2,39,0,3,0,0,15,1,0,0,16,260725,200,200,200,200,200,200,196,195,191
4,6000,2,5,4,41,0,13,0,3,9,0,0,12,10,324103,200,200,200,200,199,199,198,198,195
4,8000,3,1,3,41,0,4,0,1,11,1,0,2,13,273292,200,200,200,200,200,200,199,195,193
4,10000,2,2,1,48,0,14,1,4,8,4,1,10,5,335079,200,200,200,200,200,200,199,197,192
4,12000,3,1,4,52,0,21,1,4,6,4,1,8,11,394302,200,200,200,200,199,199,198,197,194
4,14000,3,1,0,48,0,8,0,3,4,3,0,9,6,299107,200,200,200,200,199,199,199,196,193
4,16000,2,2,3,44,0,16,1,3,16,0,1,5,13,336110,200,200,200,200,200,200,196,193,190
4,18000,1,0,4,40,0,9,0,2,8,3,0,10,5,296355,200,200,200,199,199,198,197,195,193
4,20000,3,3,7,47,0,8,1,1,15,1,8,5,9,359225,200,200,200,200,199,199,196,190,186
